team_id,team_name,team_city,team_abbreviation
1610612737,Hawks,Atlanta,ATL
1610612738,Celtics,Boston,BOS
1610612739,Cavaliers,Cleveland,CLE
1610612740,Hornets,New Orleans,NOH
1610612741,Bulls,Chicago,CHI
1610612742,Mavericks,Dallas,DAL
1610612743,Nuggets,Denver,DEN
1610612744,Warriors,Golden State,GOS
1610612745,Rockets,Houston,HOU
1610612746,Clippers,Buffalo,LAC
1610612747,Lakers,Los Angeles,LAL
1610612748,Heat,Miami,MIA
1610612749,Bucks,Milwaukee,MIL
1610612750,Timberwolves,Minnesota,MIN
1610612751,Nets,Brooklyn,BKN
1610612752,Knicks,New York,NYK
1610612753,Magic,Orlando,ORL
1610612754,Pacers,Indiana,IND
1610612755,76ers,Philadelphia,PHI
1610612756,Suns,Phoenix,PHX
1610612757,Trail Blazers,Portland,POR
1610612758,Kings,Cincinnati,KCK
1610612759,Spurs,San Antonio,SAS
1610612760,SuperSonics,Oklahoma City,OKC
1610612761,Raptors,Toronto,TOR
1610612762,Jazz,New Orleans,UTA
1610612763,Grizzlies,Memphis,MEM
1610612764,Bullets,Chicago,WAS
1610612765,Pistons,Detroit,DET
1610612766,Hornets,Charlotte,CHA
